number,name_full,suffix,canonization,birth,start,end,age_start,age_end,tenure,gap_from_previous
210,Pius II,2,NA,1405-10-18T00:00:00Z,1458-08-19T00:00:00Z,1464-08-15T00:00:00Z,52,58,5.98907103825137,1303.08008213552
222,Marcellus II,2,NA,1501-05-06T00:00:00Z,1555-04-09T00:00:00Z,1555-05-01T00:00:00Z,53,53,0.0601092896174863,1246.20123203285
216,Julius II,2,NA,1443-12-05T00:00:00Z,1503-10-31T00:00:00Z,1513-02-21T00:00:00Z,59,69,9.30958904109589,1151.52635181383
212,Sixtus IV,4,NA,1414-07-21T00:00:00Z,1471-08-09T00:00:00Z,1484-08-12T00:00:00Z,57,70,13.0082191780822,1030.95140314853
149,Clement II,2,NA,0967-06-30T00:00:00Z,1046-12-24T00:00:00Z,1047-10-09T00:00:00Z,79,80,0.791780821917808,947.063655030801
156,Alexander II,2,NA,1018-06-30T00:00:00Z,1061-09-30T00:00:00Z,1073-04-21T00:00:00Z,43,54,11.5561643835616,946.392881587953
162,Callixtus II,2,NA,1060-06-30T00:00:00Z,1119-02-02T00:00:00Z,1124-12-13T00:00:00Z,58,64,5.86065573770492,896.284736481862
166,Lucius II,2,NA,1079-06-30T00:00:00Z,1144-03-12T00:00:00Z,1145-02-15T00:00:00Z,64,65,0.931506849315068,890.001368925394
159,Urban II,2,Blessed,1042-06-30T00:00:00Z,1088-03-12T00:00:00Z,1099-07-29T00:00:00Z,45,57,11.3808219178082,857.787816563997
153,Victor II,2,NA,1018-06-30T00:00:00Z,1055-04-13T00:00:00Z,1057-07-28T00:00:00Z,36,39,2.29041095890411,855.690622861054
164,Innocent II,2,NA,1082-06-30T00:00:00Z,1130-02-14T00:00:00Z,1143-09-24T00:00:00Z,47,61,13.6082191780822,712.911704312115
165,Celestine II,2,NA,1085-06-30T00:00:00Z,1143-09-26T00:00:00Z,1144-03-08T00:00:00Z,58,58,0.448087431693989,711.148528405202
211,Paul II,2,NA,1417-02-23T00:00:00Z,1464-08-30T00:00:00Z,1471-07-26T00:00:00Z,47,54,6.9041095890411,697.160848733744
151,Damasus II,2,NA,1000-06-30T00:00:00Z,1048-07-17T00:00:00Z,1048-08-09T00:00:00Z,48,48,0.063013698630137,663.583846680356
139,Sylvester II,2,NA,0940-06-30T00:00:00Z,0999-04-02T00:00:00Z,1003-05-12T00:00:00Z,58,62,4.10928961748634,663.241615331965
189,Martin IV,4,NA,1210-06-30T00:00:00Z,1281-02-22T00:00:00Z,1285-03-28T00:00:00Z,70,74,4.09315068493151,625.270362765229
261,John XXIII,23,Saint,1881-11-25T00:00:00Z,1958-10-28T00:00:00Z,1963-06-03T00:00:00Z,76,81,4.5972602739726,623.88501026694
161,Gelasius II,2,NA,1061-06-30T00:00:00Z,1118-01-24T00:00:00Z,1119-01-29T00:00:00Z,56,57,1.01369863013699,621.158110882957
92,Stephen II,2,Saint,0714-06-30T00:00:00Z,0752-03-26T00:00:00Z,0757-04-26T00:00:00Z,37,42,5.08493150684932,494.636550308008
163,Honorius II,2,NA,1060-02-09T00:00:00Z,1124-12-21T00:00:00Z,1130-02-13T00:00:00Z,64,70,5.14794520547945,486.182067077344
217,Leo X,10,NA,1475-12-11T00:00:00Z,1513-03-09T00:00:00Z,1521-12-01T00:00:00Z,37,45,8.73150684931507,458.877481177276
120,Anastasius III,3,NA,0865-06-30T00:00:00Z,0911-04-14T00:00:00Z,0913-06-01T00:00:00Z,45,47,2.13150684931507,412.388774811773
129,Agapetus II,2,NA,0905-06-30T00:00:00Z,0946-05-10T00:00:00Z,0955-11-08T00:00:00Z,40,50,9.49726775956284,410.039698836413
193,Boniface VIII,8,NA,1230-06-30T00:00:00Z,1294-12-24T00:00:00Z,1303-10-11T00:00:00Z,64,73,8.7972602739726,398.652977412731
245,Benedict XIII,13,Servant of God,1649-02-02T00:00:00Z,1724-05-29T00:00:00Z,1730-02-21T00:00:00Z,75,81,5.73424657534247,382.086242299795
262,Paul VI,6,Saint,1897-09-26T00:00:00Z,1963-06-21T00:00:00Z,1978-08-06T00:00:00Z,65,80,15.1260273972603,342.384668035592
209,Callixtus III,3,NA,1378-12-31T00:00:00Z,1455-04-08T00:00:00Z,1458-08-06T00:00:00Z,76,79,3.32876712328767,330.310746064339
167,Eugene III,3,Blessed,1080-06-30T00:00:00Z,1145-02-15T00:00:00Z,1153-07-08T00:00:00Z,64,73,8.39178082191781,317.464750171116
207,Eugene IV,4,NA,1383-06-30T00:00:00Z,1431-03-03T00:00:00Z,1447-02-23T00:00:00Z,47,63,15.9780821917808,277.645448323066
160,Paschal II,2,NA,1050-06-30T00:00:00Z,1099-08-13T00:00:00Z,1118-01-21T00:00:00Z,49,67,18.441095890411,275.496235455168
112,Boniface VI,6,NA,0806-06-30T00:00:00Z,0896-04-11T00:00:00Z,0896-04-26T00:00:00Z,89,89,0.0410958904109589,270.458590006845
169,Adrian IV,4,NA,1100-06-30T00:00:00Z,1154-12-04T00:00:00Z,1159-09-01T00:00:00Z,54,59,4.74246575342466,269.210130047912
194,Benedict XI,11,Blessed,1240-06-30T00:00:00Z,1303-10-22T00:00:00Z,1304-07-07T00:00:00Z,63,64,0.707650273224044,255.258042436687
