number,name_full,canonization,birth,start,end,age_start,age_end,tenure
228,Urban VII,,1521-08-04T00:00:00Z,1590-09-15T00:00:00Z,1590-09-27T00:00:00Z,69.11572448441788,69.14857936850174,0.0328767123287671
112,Boniface VI,,0806-06-30T00:00:00Z,0896-04-11T00:00:00Z,0896-04-26T00:00:00Z,89.78418448017413,89.82525308527896,0.0410958904109589
179,Celestine IV,,1180-06-30T00:00:00Z,1241-10-25T00:00:00Z,1241-11-10T00:00:00Z,61.320903235521605,61.36470974763342,0.0438356164383562
115,Theodore II,,0840-06-30T00:00:00Z,0897-12-01T00:00:00Z,0897-12-20T00:00:00Z,57.42212365756997,57.47414389070275,0.0520547945205479
87,Sisinnius,,0650-06-30T00:00:00Z,0708-01-15T00:00:00Z,0708-02-04T00:00:00Z,57.542591565877466,57.59734970601723,0.0546448087431694
222,Marcellus II,,1501-05-06T00:00:00Z,1555-04-09T00:00:00Z,1555-05-01T00:00:00Z,53.92581640964565,53.98605036379939,0.0601092896174863
151,Damasus II,,1000-06-30T00:00:00Z,1048-07-17T00:00:00Z,1048-08-09T00:00:00Z,48.04753006564132,48.11050192680206,0.063013698630137
215,Pius III,,1439-05-29T00:00:00Z,1503-09-22T00:00:00Z,1503-10-18T00:00:00Z,64.31617350116703,64.38735908334873,0.0710382513661202
232,Leo XI,,1535-06-02T00:00:00Z,1605-04-01T00:00:00Z,1605-04-27T00:00:00Z,69.83305612024887,69.90424170243058,0.0712328767123288
131,Benedict V,,0915-06-30T00:00:00Z,0964-05-22T00:00:00Z,0964-06-23T00:00:00Z,48.89628123780776,48.98389426203139,0.0876712328767123
263,John Paul I,Blessed,1912-10-17T00:00:00Z,1978-08-26T00:00:00Z,1978-09-28T00:00:00Z,65.85761514610157,65.94796607733218,0.0904109589041096
186,Adrian V,,1216-06-30T00:00:00Z,1276-07-11T00:00:00Z,1276-08-18T00:00:00Z,60.031349035230015,60.13538950149558,0.104109589041096
100,Valentine,,0780-06-30T00:00:00Z,0827-08-31T00:00:00Z,0827-10-10T00:00:00Z,47.16866191639801,47.27817819667755,0.109289617486339
19,Anterus,Saint,0180-06-30T00:00:00Z,0235-11-21T00:00:00Z,0236-01-03T00:00:00Z,55.390596658384496,55.50832665968501,0.117486338797814
146,Sylvester III,,1000-06-30T00:00:00Z,1045-01-13T00:00:00Z,1045-03-10T00:00:00Z,44.54027118968904,44.6935939820804,0.153424657534247
173,Gregory VIII,,1100-06-30T00:00:00Z,1187-10-21T00:00:00Z,1187-12-17T00:00:00Z,87.30911654585651,87.46517724525486,0.155737704918033
230,Innocent IX,,1519-07-20T00:00:00Z,1591-10-29T00:00:00Z,1591-12-30T00:00:00Z,72.2780070774896,72.4477573119229,0.169398907103825
71,Severinus,,0585-06-30T00:00:00Z,0640-05-28T00:00:00Z,0640-08-02T00:00:00Z,54.90872502515452,55.08942688761576,0.180821917808219
114,Romanus,,0850-06-30T00:00:00Z,0897-08-14T00:00:00Z,0897-11-01T00:00:00Z,47.124855404286194,47.34115005783829,0.216438356164384
118,Leo V,,0845-06-30T00:00:00Z,0903-07-30T00:00:00Z,0903-12-01T00:00:00Z,58.07922133924721,58.41872180811379,0.33879781420765
185,Innocent V,Blessed,1224-06-30T00:00:00Z,1276-01-21T00:00:00Z,1276-06-22T00:00:00Z,51.56026475560758,51.979164527676815,0.418032786885246
192,Celestine V,Saint,1215-06-30T00:00:00Z,1294-07-05T00:00:00Z,1294-12-13T00:00:00Z,79.01599622168833,79.45679924981349,0.441095890410959
165,Celestine II,,1085-06-30T00:00:00Z,1143-09-26T00:00:00Z,1144-03-08T00:00:00Z,58.23801994565255,58.68703669479866,0.448087431693989
140,John XVII,,0955-06-30T00:00:00Z,1003-05-16T00:00:00Z,1003-11-06T00:00:00Z,47.87504192420104,48.35143774341704,0.475409836065574
123,Leo VI,,0880-06-30T00:00:00Z,0928-05-28T00:00:00Z,0928-12-01T00:00:00Z,47.9078968082849,48.41988541859176,0.512328767123288
121,Lando,,0865-06-30T00:00:00Z,0913-07-07T00:00:00Z,0914-02-05T00:00:00Z,48.017413088564446,48.600587281053,0.583561643835617
97,Stephen IV,Saint,0770-06-30T00:00:00Z,0816-06-22T00:00:00Z,0817-01-24T00:00:00Z,45.980410275365,46.57179818887452,0.591780821917808
30,Marcellus I,Saint,0255-01-06T00:00:00Z,0308-05-27T00:00:00Z,0309-01-16T00:00:00Z,53.386448729268906,54.02711896890422,0.641095890410959
154,Stephen IX,Saint,1020-06-30T00:00:00Z,1057-08-02T00:00:00Z,1058-03-29T00:00:00Z,37.09042622367331,37.744785998343566,0.654794520547945
132,Leo VIII,,0915-06-30T00:00:00Z,0964-06-23T00:00:00Z,0965-03-01T00:00:00Z,48.98389426203139,49.67110892078551,0.687671232876712
22,Lucius I,Saint,0200-06-30T00:00:00Z,0253-06-25T00:00:00Z,0254-03-05T00:00:00Z,52.98671430624859,53.67940477901668,0.693150684931507
187,John XXI,,1215-06-30T00:00:00Z,1276-09-08T00:00:00Z,1277-05-20T00:00:00Z,61.19495951320013,61.89038789297521,0.695890410958904
194,Benedict XI,Blessed,1240-06-30T00:00:00Z,1303-10-22T00:00:00Z,1304-07-07T00:00:00Z,63.308623722595264,64.01774163740528,0.707650273224044
136,John XIV,,0940-06-30T00:00:00Z,0983-12-01T00:00:00Z,0984-08-20T00:00:00Z,43.42046722383074,44.14053676666872,0.718579234972678
34,Mark,Saint,0290-06-30T00:00:00Z,0336-01-18T00:00:00Z,0336-10-07T00:00:00Z,45.55055887526781,46.27062841810578,0.718579234972678
66,Boniface III,,0540-06-30T00:00:00Z,0607-02-19T00:00:00Z,0607-11-12T00:00:00Z,66.63791864309329,67.36620190695223,0.728767123287671
58,Silverius,Saint,0480-06-30T00:00:00Z,0536-06-08T00:00:00Z,0537-03-11T00:00:00Z,55.9381780597822,56.69384039371103,0.756164383561644
