Name,Age,Number of popes
Agatho,103.529,1
Formosus,90.762,1
Francis,87.86,1
Sabinian,75.647,1
John Paul,75.41,2
Evaristus,75.324,1
Pius,74.431,12
Anicetus,73.802,1
Hormisdas,73.098,1
Cornelius,72.983,1
Paul,72.91,6
Zachary,72.726,1
Gelasius,71.988,2
Vitalian,71.576,1
Callixtus,70.445,3
Clement,70.012,14
Honorius,69.691,4
Julius,69.513,3
Lucius,69.236,3
Adrian,69.166,6
Telesphorus,68.515,1
Dionysius,68.49,1
Donus,67.781,1
Hilary,67.666,1
Martin,67.25,3
Gregory,66.894,16
Nicholas,66.89,5
Linus,66.505,1
Innocent,66.364,13
Celestine,65.912,4
Urban,65.845,8
Alexander,65.627,7
Hyginus,65.53,1
Siricius,65.407,1
Damasus,63.78,2
Anacletus,63.504,1
Peter,63.504,1
Sixtus,62.952,5
Leo,62.644,13
Pelagius,62.642,2
Boniface,61.171,8
Anastasius,61.05,4
Pontian,60.244,1
Benedict,59.239,15
Eleutherius,58.905,1
Paschal,58.089,2
Sisinnius,57.596,1
Zephyrinus,57.47,1
Conon,57.227,1
Silverius,56.693,1
Eugene,56.438,4
Liberius,56.235,1
Anterus,55.507,1
Eusebius,55.129,1
Severinus,55.088,1
Vigilius,54.935,1
Soter,54.812,1
Symmachus,54.048,1
Marcellinus,53.821,1
Marcellus,53.766,2
Felix,53.466,3
John,53.462,22
Simplicius,52.693,1
Sylvester,52.685,3
Adeodatus,51.66,2
Caius,50.812,1
Constantine,50.771,1
Sergius,50.104,4
Marinus,49.855,2
Fabian,49.558,1
Lando,48.6,1
Zosimus,48.49,1
Theodore,48.172,2
Victor,48.122,3
Agapetus,48.084,2
Romanus,47.34,1
Valentine,47.277,1
Stephen,46.561,9
Mark,46.27,1
Miltiades,43.529,1
Eutychian,43.436,1
