number,name_full,name,suffix,canonization,birth,start,end,start_age,end_age,tenure_years,cardinalate,years_as_cardinal,canonization,Personal Name,Place of Birth,Modern-day country of birth,Comments
1,Peter,Peter,1,,0001-06-30,0030-06-30,0068-06-30,29,67,38,NA,NA,,"Shimon son of Yonah, Simeon Kephas","Bethsaida, Galilea",Israel,Jew from Judaea
2,Linus,Linus,1,,0010-06-30,0068-06-30,0080-06-30,58,70,12,NA,NA,,NA,"Volterrae, Tuscia (Central Tuscany)",Italy,First Roman pope (Roman citizen)
3,Anacletus,Anacletus,1,,0016-06-30,0080-06-30,0092-06-30,64,76,12,NA,NA,,NA,Probably Greece (Athens),Greece,First Greek pope.
4,Clement I,Clement,1,,0035-06-30,0092-06-30,0100-06-30,57,65,8,NA,NA,,NA,Rome,Italy,NA
5,Evaristus,Evaristus,1,,0030-06-30,0100-06-30,0108-06-30,70,78,8,NA,NA,,NA,"Bethlehem, Judea",West Bank,Hellenized Jew.
6,Alexander I,Alexander,1,,0075-06-30,0108-06-30,0115-06-30,33,40,7,NA,NA,,NA,Rome,Italy,NA
7,Sixtus I,Sixtus,1,,0042-06-30,0115-06-30,0125-04-03,73,82.759,9.759,NA,NA,,NA,Rome,Italy,Possibly of Greek descent
8,Telesphorus,Telesphorus,1,,0067-06-30,0125-04-03,0136-01-05,57.759,68.515,10.755,NA,NA,,NA,"Greece or Terra Nova, Calabria, Italy",Greece or Italy,NA
9,Hyginus,Hyginus,1,,0074-06-30,0136-01-05,0140-01-11,61.515,65.531,4.016,NA,NA,,NA,"Athens, Greece",Greece,NA
10,Pius I,Pius,1,,0081-06-30,0140-01-11,0155-07-11,58.531,74.031,15.5,NA,NA,,NA,"Aquileia, Friuli, Italy",Italy,NA
11,Anicetus,Anicetus,1,,0092-06-30,0155-07-11,0166-04-20,63.031,73.806,10.775,NA,NA,,NA,"Emesa, Syria",Syria,Hellenized Syrian; first Syrian pope.
12,Soter,Soter,1,,0119-06-30,0166-04-20,0174-04-22,46.806,54.811,8.005,NA,NA,,NA,"Fondi, Latium, Italy",Italy,NA
13,Eleutherius,Eleutherius,1,,0130-06-30,0174-04-22,0189-05-26,43.811,58.906,15.094,NA,NA,,NA,"Nicopoli, Epyrus",Greece,NA
14,Victor I,Victor,1,,0120-06-30,0189-05-26,0199-07-28,68.906,79.078,10.172,NA,NA,,NA,Northern Africa,Africa,Roman Berber; first pope to have been born on the continent of Africa.
15,Zephyrinus,Zephyrinus,1,,0160-06-30,0199-07-28,0217-12-20,39.078,57.473,18.395,NA,NA,,NA,Rome,Italy,NA
16,Callixtus I,Callixtus,1,,0155-06-30,0217-12-20,0222-10-14,62.473,67.29,4.817,NA,NA,,NA,Ravenna,Italy,NA
17,Urban I,Urban,1,,0175-06-30,0222-10-14,0230-05-23,47.29,54.897,7.608,NA,NA,,NA,Rome,Italy,NA
18,Pontian,Pontian,1,,0175-06-30,0230-08-21,0235-09-28,55.142,60.245,5.103,NA,NA,,NA,Rome,Italy,First to abdicate after exile to Sardinia by Emperor Maximinus Thrax.
19,Anterus,Anterus,1,,0180-06-30,0235-11-21,0236-01-03,55.392,55.509,0.117,NA,NA,,NA,"Greece or Petilia, Calabria, Italy",Greece or Italy,Greek
20,Fabian,Fabian,1,,0200-06-30,0236-01-10,0250-01-20,35.529,49.556,14.027,NA,NA,,NA,Rome,Italy,NA
21,Cornelius,Cornelius,1,,0180-06-30,0251-03-06,0253-06-25,70.684,72.986,2.302,NA,NA,,NA,Rome,Italy,NA
22,Lucius I,Lucius,1,,0200-06-30,0253-06-25,0254-03-05,52.986,53.682,0.695,NA,NA,,NA,Rome,Italy,NA
23,Stephen I,Stephen,1,,0205-06-30,0254-03-12,0257-08-02,48.701,52.09,3.389,NA,NA,,NA,Rome,Italy,Greek descent
24,Sixtus II,Sixtus,2,,0215-06-30,0257-08-30,0258-08-06,42.167,43.101,0.934,NA,NA,,NA,Greece or Italy,Greece or Italy,NA
25,Dionysius,Dionysius,1,,0200-06-30,0259-07-22,0268-12-26,59.061,68.489,9.428,NA,NA,,NA,Magna Graecia (Italy) or unknown,Italy or unknown,NA
26,Felix I,Felix,1,,0206-06-30,0269-01-05,0274-12-30,62.515,68.5,5.985,NA,NA,,NA,Rome,Italy,NA
27,Eutychian,Eutychian,1,,0240-06-30,0275-01-04,0283-12-07,34.512,43.437,8.925,NA,NA,,NA,"Luna, Tuscany, Italy",Italy,NA
28,Caius,Caius,1,,0245-06-30,0283-12-17,0296-04-22,38.464,50.811,12.347,NA,NA,,NA,Dalmatia,Croatia,NA
29,Marcellinus,Marcellinus,1,,0250-06-30,0296-06-30,0304-04-26,46,53.822,7.822,NA,NA,,NA,Rome,Italy,NA
30,Marcellus I,Marcellus,1,,0255-01-06,0308-05-27,0309-01-16,53.391,54.027,0.637,NA,NA,,NA,Rome,Italy,NA
31,Eusebius,Eusebius,1,,0255-06-30,0309-04-18,0310-08-17,53.8,55.131,1.331,NA,NA,,NA,"Achaea, Greece",Greece,NA
32,Miltiades,Miltiades,1,,0270-06-30,0311-07-02,0314-01-10,41.007,43.529,2.522,NA,NA,,NA,Africa,Africa,of Berber descent
33,Sylvester I,Sylvester,1,,0285-06-30,0314-01-31,0335-12-31,28.586,50.503,21.917,NA,NA,,NA,"Sant'Angelo a Scala, Avellino",Italy,NA
34,Mark,Mark,1,,0290-06-30,0336-01-18,0336-10-07,45.55,46.27,0.72,NA,NA,,NA,Rome,Italy,NA
35,Julius I,Julius,1,,0280-06-30,0337-02-06,0352-04-12,56.601,71.784,15.183,NA,NA,,NA,Rome,Italy,NA
36,Liberius,Liberius,1,,0310-06-30,0352-05-17,0366-09-24,41.881,56.234,14.353,NA,NA,,NA,Rome,Italy,Earliest Pope not yet canonized by the Roman Church. Revered as a saint in Eastern Christianity.
37,Damasus I,Damasus,1,,0305-06-30,0366-10-01,0384-12-11,61.254,79.448,18.194,NA,NA,,NA,Rome or Lusitania (Portugal),Italy or Portugal,The first pope from modern-day Portugal.
38,Siricius,Siricius,1,,0334-06-30,0384-12-17,0399-11-26,50.464,65.406,14.941,NA,NA,,NA,Rome,Italy,"Authored important decretal of 386 (written to Bishop Himerius of Tarragona), commanding celibacy for priests, the first decree on this subject."
39,Anastasius I,Anastasius,1,,0340-06-30,0399-11-27,0401-12-19,59.408,61.47,2.061,NA,NA,,NA,Rome,Italy,NA
40,Innocent I,Innocent,1,,0378-06-30,0401-12-21,0417-03-12,23.475,38.701,15.225,NA,NA,,NA,Albano Laziale or Albania,Italy or Albania,NA
41,Zosimus,Zosimus,1,,0370-06-30,0417-03-18,0418-12-26,46.717,48.489,1.772,NA,NA,,NA,Calabria,Italy,of Greek descent. 
