number,name_full,name,suffix,canonization,birth,start,end,age_start,age_end,tenure,Personal Name,Place of Birth,Modern-day country of birth,Comments
1,Peter,Peter,1,Saint,0001-06-30T00:00:00Z,0030-01-01T00:00:00Z,0064-12-31T00:00:00Z,28.5065023956194,63.5044490075291,34.9972677595628,"Shimon son of Yonah, Simeon Kephas","Bethsaida, Galilea",Israel,Jew from Judaea
2,Linus,Linus,1,Saint,0010-06-30T00:00:00Z,0064-01-01T00:00:00Z,0076-12-31T00:00:00Z,53.5058179329227,66.5051334702259,12.9972677595628,,"Volterrae, Tuscia (Central Tuscany)",Italy,First Roman pope (Roman citizen)
3,Anacletus,Anacletus,1,Saint,0025-06-30T00:00:00Z,0076-01-01T00:00:00Z,0088-12-31T00:00:00Z,50.5051334702259,63.5044490075291,12.9972677595628,,Probably Greece (Athens),Greece,First Greek pope.
4,Clement I,Clement,1,Saint,0035-06-30T00:00:00Z,0088-04-26T00:00:00Z,0099-11-23T00:00:00Z,52.8240930869268,64.3997262149213,11.5780821917808,,Rome,Italy,
5,Evaristus,Evaristus,1,Saint,0030-06-30T00:00:00Z,0099-11-23T00:00:00Z,0105-10-27T00:00:00Z,69.3990417522245,75.3237508555784,5.92602739726027,,"Bethlehem, Judea",West Bank,Hellenized Jew.
6,Alexander I,Alexander,1,Saint,0075-06-30T00:00:00Z,0105-10-27T00:00:00Z,0115-05-03T00:00:00Z,30.3244353182752,39.8384668035592,9.51506849315068,,Rome,Italy,
7,Sixtus I,Sixtus,1,Saint,0042-06-30T00:00:00Z,0115-05-03T00:00:00Z,0125-04-03T00:00:00Z,72.8377823408624,82.757015742642,9.91780821917808,,Rome,Italy,Possibly of Greek descent
8,Telesphorus,Telesphorus,1,Saint,0067-06-30T00:00:00Z,0125-04-03T00:00:00Z,0136-01-05T00:00:00Z,57.7577002053388,68.5147159479808,10.7568306010929,,"Greece or Terra Nova, Calabria, Italy",Greece or Italy,
9,Hyginus,Hyginus,1,Saint,0074-06-30T00:00:00Z,0136-01-05T00:00:00Z,0140-01-11T00:00:00Z,61.5140314852841,65.5304585900068,4.01639344262295,,"Athens, Greece",Greece,
10,Pius I,Pius,1,Saint,0081-06-30T00:00:00Z,0140-01-11T00:00:00Z,0155-07-11T00:00:00Z,58.5297741273101,74.0260095824778,15.4958904109589,,"Aquileia, Friuli, Italy",Italy,
11,Anicetus,Anicetus,1,Saint,0092-06-30T00:00:00Z,0155-07-11T00:00:00Z,0166-04-20T00:00:00Z,63.025325119781,73.8015058179329,10.7753424657534,,"Emesa, Syria",Syria,Hellenized Syrian; first Syrian pope.
12,Soter,Soter,1,Saint,0119-06-30T00:00:00Z,0166-04-20T00:00:00Z,0174-04-22T00:00:00Z,46.8062970568104,54.8117727583847,8.0054794520548,,"Fondi, Latium, Italy",Italy,
13,Eleutherius,Eleutherius,1,Saint,0130-06-30T00:00:00Z,0174-04-22T00:00:00Z,0189-05-26T00:00:00Z,43.8110882956879,58.9048596851472,15.0931506849315,,"Nicopoli, Epyrus",Greece,
14,Victor I,Victor,1,Saint,0155-06-30T00:00:00Z,0189-05-26T00:00:00Z,0199-07-28T00:00:00Z,33.9055441478439,44.0766598220397,10.172602739726,,Northern Africa,Africa,Roman Berber; first pope to have been born on the continent of Africa.
15,Zephyrinus,Zephyrinus,1,Saint,0160-06-30T00:00:00Z,0199-07-28T00:00:00Z,0217-12-20T00:00:00Z,39.0746064339494,57.4702258726899,18.3972602739726,,Rome,Italy,
16,Callixtus I,Callixtus,1,Saint,0155-06-30T00:00:00Z,0217-12-20T00:00:00Z,0222-10-14T00:00:00Z,62.4722792607803,67.2881587953457,4.81643835616438,,Ravenna,Italy,
17,Urban I,Urban,1,Saint,0175-06-30T00:00:00Z,0222-10-14T00:00:00Z,0230-05-23T00:00:00Z,47.2881587953457,54.8939082819986,7.60547945205479,,Rome,Italy,
18,Pontian,Pontian,1,Saint,0175-06-30T00:00:00Z,0230-08-21T00:00:00Z,0235-09-28T00:00:00Z,55.1403148528405,60.2436687200548,5.10382513661202,,Rome,Italy,First to abdicate after exile to Sardinia by Emperor Maximinus Thrax.
19,Anterus,Anterus,1,Saint,0180-06-30T00:00:00Z,0235-11-21T00:00:00Z,0236-01-03T00:00:00Z,55.3894592744695,55.5071868583162,0.117486338797814,,"Greece or Petilia, Calabria, Italy",Greece or Italy,Greek
20,Fabian,Fabian,1,Saint,0200-06-30T00:00:00Z,0236-01-10T00:00:00Z,0250-01-20T00:00:00Z,35.5290896646133,49.5578370978782,14.027397260274,,Rome,Italy,
21,Cornelius,Cornelius,1,Saint,0180-06-30T00:00:00Z,0251-03-06T00:00:00Z,0253-06-25T00:00:00Z,70.6776180698152,72.9828884325804,2.3041095890411,,Rome,Italy,
22,Lucius I,Lucius,1,Saint,0200-06-30T00:00:00Z,0253-06-25T00:00:00Z,0254-03-05T00:00:00Z,52.9856262833676,53.678302532512,0.693150684931507,,Rome,Italy,
23,Stephen I,Stephen,1,Saint,0205-06-30T00:00:00Z,0254-03-12T00:00:00Z,0257-08-02T00:00:00Z,48.6981519507187,52.0903490759754,3.39178082191781,,Rome,Italy,Greek descent
24,Sixtus II,Sixtus,2,Saint,0215-06-30T00:00:00Z,0257-08-30T00:00:00Z,0258-08-06T00:00:00Z,42.1683778234086,43.1019849418207,0.934246575342466,,Greece or Italy,Greece or Italy,
