Name,Age,Number of popes
Eutychian,43.436,1
Miltiades,43.529,1
Mark,46.27,1
Stephen,46.561,9
Valentine,47.277,1
Romanus,47.34,1
Agapetus,48.084,2
Victor,48.122,3
Theodore,48.172,2
Zosimus,48.49,1
Lando,48.6,1
Fabian,49.558,1
Marinus,49.855,2
Sergius,50.104,4
Constantine,50.771,1
Caius,50.812,1
Adeodatus,51.66,2
Sylvester,52.685,3
Simplicius,52.693,1
John,53.462,22
Felix,53.466,3
Marcellus,53.766,2
Marcellinus,53.821,1
Symmachus,54.048,1
Soter,54.812,1
Vigilius,54.935,1
Severinus,55.088,1
Eusebius,55.129,1
Anterus,55.507,1
Liberius,56.235,1
Eugene,56.438,4
Silverius,56.693,1
Conon,57.227,1
Zephyrinus,57.47,1
Sisinnius,57.596,1
Paschal,58.089,2
Eleutherius,58.905,1
Benedict,59.239,15
Pontian,60.244,1
Anastasius,61.05,4
Boniface,61.171,8
Pelagius,62.642,2
Leo,62.644,13
Sixtus,62.952,5
Peter,63.504,1
Anacletus,63.504,1
Damasus,63.78,2
Siricius,65.407,1
Hyginus,65.53,1
Alexander,65.627,7
Urban,65.845,8
Celestine,65.912,4
Innocent,66.364,13
Linus,66.505,1
Nicholas,66.89,5
Gregory,66.894,16
Martin,67.25,3
Hilary,67.666,1
Donus,67.781,1
Dionysius,68.49,1
Telesphorus,68.515,1
Adrian,69.166,6
Lucius,69.236,3
Julius,69.513,3
Honorius,69.691,4
Clement,70.012,14
Callixtus,70.445,3
Vitalian,71.576,1
Gelasius,71.988,2
Zachary,72.726,1
Paul,72.91,6
Cornelius,72.983,1
Hormisdas,73.098,1
Anicetus,73.802,1
Pius,74.431,12
Evaristus,75.324,1
John Paul,75.41,2
Sabinian,75.647,1
Francis,87.86,1
Formosus,90.762,1
Agatho,103.529,1
