Name,Age,Number of popes
Peter,28.507,1
Eutychian,34.513,1
Fabian,35.529,1
Vigilius,36.745,1
Simplicius,37.676,1
Symmachus,38.396,1
Caius,38.464,1
Zephyrinus,39.075,1
Miltiades,41.002,1
Liberius,41.881,1
Agapetus,42.8625,2
Sergius,43.423,4
Victor,43.53033333333334,3
Stephen,43.70488888888889,9
Constantine,43.732,1
Eleutherius,43.811,1
Sylvester,43.959666666666664,3
Theodore,44.911500000000004,2
Paschal,45.346999999999994,2
Mark,45.55,1
Marcellinus,46.001,1
Zosimus,46.716,1
Soter,46.806,1
Felix,47.083,3
Romanus,47.124,1
Valentine,47.168,1
Marinus,47.397999999999996,2
John,47.907954545454544,22
Lando,48.016,1
Adeodatus,48.0755,2
Eugene,48.8165,4
Siricius,50.467,1
Anacletus,50.505,1
Marcellus,53.415499999999994,2
Linus,53.506,1
Eusebius,53.799,1
Benedict,53.8638,15
Damasus,54.650499999999994,2
Severinus,54.908,1
Leo,54.910230769230765,13
Alexander,55.06128571428571,7
Pelagius,55.1005,2
Pontian,55.14,1
Anterus,55.389,1
Sixtus,55.501,5
Boniface,55.832,8
Silverius,55.937,1
Conon,56.309,1
Vitalian,57.081,1
Sisinnius,57.541,1
Innocent,57.56984615384616,13
Urban,57.753375,8
Telesphorus,57.758,1
Gregory,58.217,16
Dionysius,59.058,1
Anastasius,59.15675,4
Martin,59.342000000000006,3
Julius,59.63733333333334,3
Pius,60.867250000000006,12
Hilary,61.388,1
Nicholas,61.4708,5
Hyginus,61.514,1
Celestine,61.625,4
Clement,61.632,14
Paul,61.722,6
Honorius,61.99775,4
John Paul,62.134,2
Zachary,62.426,1
Anicetus,63.025,1
Adrian,63.03983333333333,6
Hormisdas,64.052,1
Callixtus,65.776,3
Donus,66.344,1
Lucius,67.28466666666667,3
Gelasius,69.1185,2
Evaristus,69.399,1
Cornelius,70.678,1
Sabinian,74.204,1
Francis,76.235,1
Formosus,86.267,1
Agatho,100.988,1
